Prefecture,Name,Address,Description,Location,Target,URL
長野県,あづみ第2団,長野県スカウトハウス：安曇野市豊科南穂高4985：市営「県民豊科運動広場」内,"主な活動場所: スカウトハウス、市内公民館、等
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/azumi2/",スカウトハウス、市内公民館、等,男女,https://find-local.scout.or.jp/nagano/azumi2/
長野県,富士見第1団,長野県諏訪郡富士見町富士見3582-26,"主な活動場所: 富士見町周辺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/fujimi1/",富士見町周辺,男女,https://find-local.scout.or.jp/nagano/fujimi1/
長野県,茅野第1団,長野県茅野市塚原2-10-18,"主な活動場所: 八ヶ岳青少年自然の森、ゆいわーく茅野、茅野地区コミュニティーセンター、茅野市運動公園
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/chino1/",八ヶ岳青少年自然の森、ゆいわーく茅野、茅野地区コミュニティーセンター、茅野市運動公園,男女,https://find-local.scout.or.jp/nagano/chino1/
長野県,岡谷第1団,長野県岡谷市湊3-4-33,"主な活動場所: 団ハウス　塩嶺野外活動センター　イルフカルチャーセンター　諏訪湖ハイツ
参加対象: 男
詳細URL: https://find-local.scout.or.jp/nagano/okaya1/",団ハウス　塩嶺野外活動センター　イルフカルチャーセンター　諏訪湖ハイツ,男,https://find-local.scout.or.jp/nagano/okaya1/
長野県,辰野第1団,長野県上伊那郡辰野町大字伊那富8353-4,"主な活動場所: 辰野町内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/tatsuno1/",辰野町内,男女,https://find-local.scout.or.jp/nagano/tatsuno1/
長野県,伊那第1団,長野県伊那市上新田2172-6 （団委員長）,"主な活動場所: 羽広キャンプ場、伊那公民館、伊那市周辺地域
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/ina1/",羽広キャンプ場、伊那公民館、伊那市周辺地域,男女,https://find-local.scout.or.jp/nagano/ina1/
長野県,駒ヶ根第1団,長野県駒ヶ根市赤須東8-17,"主な活動場所: 駒ヶ根市内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/komagane1/",駒ヶ根市内,男女,https://find-local.scout.or.jp/nagano/komagane1/
長野県,飯田第1団,長野県飯田市本町3-16,"主な活動場所: 松川野営場、高森町民研修センター 森の家、阿南少年自然の家、風越山麓公園、かざこし子どもの森公園、東野公民館、他市内・郡内多数
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/nagano/iida1/",松川野営場、高森町民研修センター 森の家、阿南少年自然の家、風越山麓公園、かざこし子どもの森公園、東野公民館、他市内・郡内多数,男女,https://find-local.scout.or.jp/nagano/iida1/
岐阜県,高山第2団,岐阜県高山市朝日町9,"主な活動場所: 高山市民文化会館
参加対象: 男
詳細URL: https://find-local.scout.or.jp/gifu/takayama1/",高山市民文化会館,男,https://find-local.scout.or.jp/gifu/takayama1/
岐阜県,関第1団,岐阜県関市住吉町1,"主な活動場所: 関市内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/seki1/",関市内,男女,https://find-local.scout.or.jp/gifu/seki1/
岐阜県,恵那第1団,岐阜県恵那市大井町235-2,"主な活動場所: 恵那市内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/ena1/",恵那市内,男女,https://find-local.scout.or.jp/gifu/ena1/
岐阜県,土岐第1団,岐阜県土岐市土岐津町土岐口974-1 土岐１団本部（広福寺）,"主な活動場所: 土岐市内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/toki1/",土岐市内,男女,https://find-local.scout.or.jp/gifu/toki1/
岐阜県,多治見第1団,岐阜県多治見市長瀬町24-31,"主な活動場所: 多治見市内及び周辺の野外活動の出来る場所 （地球村・喜多緑地公園・他）
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/tajimi1/",多治見市内及び周辺の野外活動の出来る場所 （地球村・喜多緑地公園・他）,男女,https://find-local.scout.or.jp/gifu/tajimi1/
岐阜県,美濃加茂第1団,岐阜県美濃加茂市下米田町小山160-2,"主な活動場所: 美濃加茂市内及び加茂郡周辺 （富加羽生の丘・生涯学習センター他）
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/minokamo1/",美濃加茂市内及び加茂郡周辺 （富加羽生の丘・生涯学習センター他）,男女,https://find-local.scout.or.jp/gifu/minokamo1/
岐阜県,可児第1団,岐阜県可児市土田1955-28,"主な活動場所: 可児市内及び周辺の活動の出来る場所
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/kani1/",可児市内及び周辺の活動の出来る場所,男女,https://find-local.scout.or.jp/gifu/kani1/
岐阜県,岐阜第1団,岐阜県岐阜市加納堀田町2-19-2,"主な活動場所: 加納城址公園、善徳寺、加納小学校公民館、岐阜南部コミュニティ
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/gifu1/",加納城址公園、善徳寺、加納小学校公民館、岐阜南部コミュニティ,男女,https://find-local.scout.or.jp/gifu/gifu1/
岐阜県,岐阜第6団,岐阜県（団事務局）岐阜市西野町6-19-3 浜善装飾内,"主な活動場所: 本願寺岐阜別院（岐阜市西野町）
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/gifu6/",本願寺岐阜別院（岐阜市西野町）,男女,https://find-local.scout.or.jp/gifu/gifu6/
岐阜県,岐阜第16団,岐阜県岐阜市末広町,"主な活動場所: 伊奈波神社周辺、岐阜市内、善光寺さん駐車場のログハウス
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/gifu16/",伊奈波神社周辺、岐阜市内、善光寺さん駐車場のログハウス,男女,https://find-local.scout.or.jp/gifu/gifu16/
岐阜県,岐阜第19団,岐阜県岐阜市琴塚2-16-13,"主な活動場所: 立正佼成会岐阜教会内 岐阜市　各務原市
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/gifu19/",立正佼成会岐阜教会内 岐阜市　各務原市,男女,https://find-local.scout.or.jp/gifu/gifu19/
岐阜県,岐阜第25団,岐阜県岐阜市芥見5-159,"主な活動場所: 芥見公民館
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/gifu25/",芥見公民館,男女,https://find-local.scout.or.jp/gifu/gifu25/
岐阜県,各務原第1団,岐阜県各務原市各務東町4-76,"主な活動場所: 各務原市及びその周辺
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/kagamigahara1/",各務原市及びその周辺,男女,https://find-local.scout.or.jp/gifu/kagamigahara1/
岐阜県,各務原第2団,岐阜県各務原市,"主な活動場所: 各務原運動公園キャンプ場・各務原浄化センター浄水公園・伊吹の滝
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/kagamigahara2/",各務原運動公園キャンプ場・各務原浄化センター浄水公園・伊吹の滝,男女,https://find-local.scout.or.jp/gifu/kagamigahara2/
岐阜県,岐阜第8団,岐阜県岐阜市八代1-7-12,"主な活動場所: 岐阜市長良地域。（長良公園、ながら川ふれあいの森など）
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/gifu8/",岐阜市長良地域。（長良公園、ながら川ふれあいの森など）,男女,https://find-local.scout.or.jp/gifu/gifu8/
岐阜県,岐阜第11団,岐阜県岐阜市古市場212-5,"主な活動場所: 岐阜市黒野近郊
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/gifu11/",岐阜市黒野近郊,男女,https://find-local.scout.or.jp/gifu/gifu11/
岐阜県,岐阜第17団,岐阜県岐阜市粟野西5-342,"主な活動場所: 岐阜市岩野田近郊
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/gifu17/",岐阜市岩野田近郊,男女,https://find-local.scout.or.jp/gifu/gifu17/
岐阜県,本巣第1団,岐阜県本巣郡北方町芝原東町3-57（事務局宅）,"主な活動場所: 本巣市、本巣郡北方町など周辺地域　 北方町生涯学習センターきらり、北方町コミュニティセンター、本巣市富有柿の里など
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/motosu1/",本巣市、本巣郡北方町など周辺地域　 北方町生涯学習センターきらり、北方町コミュニティセンター、本巣市富有柿の里など,男女,https://find-local.scout.or.jp/gifu/motosu1/
岐阜県,大垣第7団,岐阜県大垣市本町2-5,"主な活動場所: 青年の家、林町公民館、東中学校、総合体育館ほか
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/ogaki7/",青年の家、林町公民館、東中学校、総合体育館ほか,男女,https://find-local.scout.or.jp/gifu/ogaki7/
岐阜県,大垣第11団,岐阜県大垣市丸の内2-72,"主な活動場所: 大垣市立北小学校体育館　大垣市青年の家
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/ogaki11/",大垣市立北小学校体育館　大垣市青年の家,男女,https://find-local.scout.or.jp/gifu/ogaki11/
岐阜県,揖斐第1団,岐阜県揖斐郡池田町本郷1092-1,"主な活動場所: 揖斐郡池田町中央公民館,願城寺地内
参加対象: 男女
詳細URL: https://find-local.scout.or.jp/gifu/ibi1/","揖斐郡池田町中央公民館,願城寺地内",男女,https://find-local.scout.or.jp/gifu/ibi1/
